wavelength (nm);5_8_2023_1;5_8_2023_2;22_05_2023_1;22_05_2023_2;22_05_2023_3
388.5;15.24400;9.06000;2.24700;7.25300;13.41800
389;15.07100;8.84200;2.31500;7.01700;13.14800
389.5;14.92400;8.68600;2.24300;6.87000;12.99100
390;14.65400;8.55900;2.20900;6.71200;12.70100
390.5;14.42100;8.36900;2.18100;6.58900;12.51900
391;14.14400;8.11600;2.13000;6.48500;12.30500
391.5;13.78600;7.87400;2.02100;6.35100;12.01000
392;13.43500;7.53300;1.90600;6.25800;11.76700
392.5;13.00700;7.11100;1.81900;6.19700;11.55600
393;12.57200;6.68100;1.76200;6.07800;11.21200
393.5;12.32700;6.37600;1.78700;5.89200;10.82000
394;12.22500;6.17600;1.75800;5.72700;10.49900
394.5;12.17700;6.12000;1.66300;5.60200;10.27900
395;12.21800;6.13600;1.60300;5.48700;10.06300
395.5;12.27200;6.13500;1.50400;5.41700;9.93700
396;12.34400;6.16700;1.39700;5.38800;9.86000
396.5;12.41200;6.24600;1.26700;5.28800;9.82100
397;12.23800;6.10000;1.22200;5.20900;9.70000
397.5;11.95600;5.91100;1.16500;5.13300;9.53700
398;11.76300;5.74500;1.07400;5.06800;9.39900
398.5;11.65400;5.62500;1.06300;4.97700;9.14000
399;11.59500;5.53900;1.01700;4.84900;8.85700
399.5;11.55600;5.43300;0.99400;4.70300;8.59200
400;11.50400;5.29100;0.94800;4.56400;8.33600
400.5;11.29100;4.98900;0.90200;4.47700;8.08000
401;11.13000;4.71600;0.81400;4.43600;7.87000
401.5;10.93100;4.46900;0.79300;4.36500;7.73800
402;10.64300;4.26100;0.83300;4.25500;7.49100
402.5;10.45000;4.08800;0.78800;4.15500;7.26800
403;10.35600;4.01400;0.70700;4.10800;7.22700
403.5;10.26100;3.95600;0.76300;4.01100;7.02700
404;10.25200;3.98400;0.81200;3.92400;6.89300
404.5;10.24000;4.02700;0.81600;3.84000;6.76400
405;10.11100;3.97400;0.78600;3.77400;6.68500
405.5;10.03700;3.86100;0.73600;3.78800;6.64200
406;10.08800;3.85500;0.68000;3.80300;6.59200
406.5;10.07200;3.78800;0.69300;3.80100;6.54200
407;9.99500;3.70200;0.63200;3.77200;6.52600
407.5;9.90100;3.50000;0.54800;3.76700;6.51300
408;9.80100;3.36000;0.43300;3.75100;6.49000
408.5;9.61100;3.15700;0.38400;3.65900;6.37900
409;9.54000;3.06600;0.37900;3.56200;6.20300
409.5;9.31100;2.90000;0.32300;3.41500;5.99400
410;9.00000;2.62100;0.31400;3.32600;5.90000
410.5;8.75300;2.43200;0.31600;3.27300;5.76800
411;8.58200;2.29300;0.37500;3.17700;5.58300
411.5;8.41400;2.22200;0.41200;3.11900;5.52000
412;8.29300;2.17000;0.43600;3.05400;5.49900
412.5;8.27600;2.10900;0.46100;3.03700;5.49000
